,er,in,ti,on,es,te,at,al,an,re,en,is,ic,ri,ra,user_id,platform_id
0,"[4826414340.694454, 4826414340.694454, 4826414340.694454, 4826414340.694454, 4826414340.694454]","[242494000.0, 842813000.0, 288207000.0, 352766250.0, 186692934.43362418]","[200441000.0, 407154000.0, 244114000.0, 283903000.0, 88956691.64636613]","[283505000.0, 307421000.0, 301345000.0, 297423666.6666667, 10149758.792974126]","[606087000.0, 1129581000.0, 867834000.0, 867834000.0, 261747000.0]","[299315000.0, 516152000.0, 365080500.0, 378920250.0, 64234713.21531813]","[267597000.0, 350454000.0, 306621000.0, 308224000.0, 33845214.52140612]","[224348000.0, 580841000.0, 266939000.0, 308897230.7692308, 98650688.00661004]","[181762000.0, 357311000.0, 265789000.0, 276403714.28571427, 59866931.99496527]","[348812000.0, 348812000.0, 348812000.0, 348812000.0, 348812000.0]","[206170000.0, 786837000.0, 364196000.0, 385972500.0, 147484008.22110945]","[231213000.0, 546544000.0, 312997000.0, 332380545.45454544, 86088693.98830238]","[2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134]","[324560000.0, 356740000.0, 340650000.0, 340650000.0, 16090000.0]","[313392000.0, 600782000.0, 458112000.0, 462066166.6666667, 89252657.9929447]",[20],[3]
0,"[246105000.0, 389641000.0, 294300000.0, 298542080.0, 33733695.45118945]","[244892000.0, 896571000.0, 296270500.0, 345531883.3333333, 142050722.1176168]","[178022000.0, 467189000.0, 262317000.0, 276299181.8181818, 74138370.79324062]","[264245000.0, 504581000.0, 313318000.0, 333424161.2903226, 60239816.2155535]","[258132000.0, 357196000.0, 294698000.0, 299306260.8695652, 31509368.473267134]","[142536000.0, 473458000.0, 216059000.0, 248923222.2222222, 89634160.05624002]","[134198000.0, 408852000.0, 210854000.0, 223990370.37037036, 65487614.45418411]","[166170000.0, 524895000.0, 207549000.0, 238569941.17647058, 84154338.4065468]","[178012000.0, 756322000.0, 222044000.0, 246275689.6551724, 102204608.26478845]","[181676000.0, 765758000.0, 271405000.0, 297262777.7777778, 99557955.25000365]","[147324000.0, 1088105000.0, 224263000.0, 282046758.62068963, 224622158.4392494]","[117700000.0, 319610000.0, 191290500.0, 195451800.0, 41035844.621013954]","[193486000.0, 388758000.0, 241458000.0, 255924500.0, 52168184.67945765]","[172095000.0, 421899000.0, 231737000.0, 249707272.72727272, 65984992.547329076]","[168883000.0, 451269000.0, 374960000.0, 349556818.1818182, 83484962.95503344]",[21],[1]
0,"[228262000.0, 974073000.0, 287086000.0, 333649270.2702703, 163087072.26536724]","[226401000.0, 615086000.0, 274682000.0, 288246547.1698113, 59952622.343567386]","[146159000.0, 584760000.0, 275309000.0, 270138703.7037037, 93454941.39634186]","[236709000.0, 630703000.0, 284328000.0, 310716800.0, 76013315.95082535]","[257631000.0, 632177000.0, 300952000.0, 310176903.2258065, 64756561.93894117]","[127725000.0, 800664000.0, 206362000.0, 253123837.83783785, 144845680.45962414]","[133492000.0, 623711000.0, 200659000.0, 222169632.6530612, 102102659.62589507]","[141178000.0, 833178000.0, 204560500.0, 246592227.27272728, 150893033.52523717]","[159184000.0, 1784959000.0, 202918000.0, 277269771.4285714, 275307147.6770301]","[227711000.0, 529751000.0, 271216500.0, 291626842.1052632, 69242379.62158205]","[119373000.0, 439783000.0, 214771000.0, 237663560.0, 80954137.18943831]","[139170000.0, 495223000.0, 205316000.0, 218668756.75675675, 67232362.71377029]","[144597000.0, 460872000.0, 231218000.0, 255769500.0, 91150007.92649445]","[163761000.0, 531638000.0, 206875000.0, 233479117.6470588, 81008050.44154006]","[328858000.0, 511017000.0, 355727000.0, 389233500.0, 64023609.53781035]",[21],[2]
0,"[245205000.0, 625486000.0, 307925000.0, 336353214.28571427, 99554255.08247003]","[246556000.0, 325914000.0, 271535000.0, 276562535.71428573, 21368751.59880852]","[181414000.0, 325285000.0, 294396000.0, 280829375.0, 41328689.804836236]","[253954000.0, 720492000.0, 282981000.0, 322609615.38461536, 119612186.5617498]","[252048000.0, 621838000.0, 286474000.0, 333753142.85714287, 121031077.60574621]","[152934000.0, 349979000.0, 192315000.0, 216117692.30769232, 63658786.18720594]","[135916000.0, 488876000.0, 205527500.0, 240909437.5, 98823931.21226302]","[201559000.0, 1117677000.0, 206356000.0, 508530666.6666667, 430735954.97499645]","[131583000.0, 281437000.0, 205731500.0, 206668125.0, 39172146.36683028]","[160551000.0, 420907000.0, 281808500.0, 286319642.85714287, 54501574.936099835]","[149907000.0, 772742000.0, 216111500.0, 276400062.5, 157382955.64063978]","[159361000.0, 269577000.0, 176960000.0, 191075000.0, 34756397.00178162]","[160274000.0, 312571000.0, 195134000.0, 219408200.0, 54796600.22446648]","[137719000.0, 494211000.0, 195408500.0, 248910000.0, 121120389.06311357]","[349713000.0, 400899000.0, 364000000.0, 373021400.0, 22189580.497161273]",[21],[3]
0,"[251185000.0, 530635000.0, 363056500.0, 381519571.4285714, 71495007.58466014]","[310260000.0, 493080000.0, 370348000.0, 383589347.82608694, 46244483.062362194]","[315672000.0, 869540000.0, 546474000.0, 554724333.3333334, 147678412.5922871]","[327714000.0, 554207000.0, 397895000.0, 414850368.42105263, 61777201.70879812]","[322087000.0, 2933176000.0, 421646000.0, 547527347.826087, 520357032.2055733]","[244525000.0, 403752000.0, 314518000.0, 323364928.5714286, 40490210.47375753]","[239079000.0, 583540000.0, 341220500.0, 374165800.0, 129099258.24635865]","[299573000.0, 2049159000.0, 377859500.0, 642522500.0, 629996937.6305863]","[248060000.0, 392566000.0, 315377000.0, 304446250.0, 42337246.38566889]","[278029000.0, 442326000.0, 318759000.0, 338646588.2352941, 50213781.357733004]","[213233000.0, 965369000.0, 333393000.0, 416917625.0, 188252635.11398554]","[334184000.0, 443916000.0, 396574000.0, 397836818.1818182, 35287348.087634064]","[392472000.0, 1123719000.0, 504670500.0, 631383000.0, 289183928.4927501]","[280926000.0, 639863000.0, 329766000.0, 421727363.6363636, 149891860.61732075]","[310926000.0, 401038000.0, 343907500.0, 352707166.6666667, 36781967.69440458]",[22],[1]
0,"[269683000.0, 489412000.0, 384416000.0, 392759333.3333333, 66566835.79681402]","[312429000.0, 2438048000.0, 408703000.0, 533266187.5, 494176999.1737802]","[492403000.0, 731116000.0, 527935000.0, 562488333.3333334, 77045039.15099128]","[356533000.0, 445240000.0, 390858000.0, 399005833.3333333, 28529866.721365683]","[391739000.0, 579248000.0, 447297000.0, 462227444.4444444, 56101830.68534318]","[223417000.0, 442942000.0, 317419000.0, 332215428.5714286, 61418282.93375363]","[243678000.0, 3341873000.0, 421377000.0, 868385285.7142857, 1021740760.5293336]","[270077000.0, 384065000.0, 327071000.0, 327071000.0, 56994000.0]","[231111000.0, 385513000.0, 272605000.0, 277640571.4285714, 48065364.390163355]","[281759000.0, 590675000.0, 395610500.0, 401061375.0, 87473690.09298952]","[160858000.0, 481297000.0, 265193500.0, 277207583.3333333, 81485272.82629904]","[253053000.0, 588305000.0, 329970500.0, 351808857.14285713, 85154796.4112224]","[467726000.0, 474254000.0, 470990000.0, 470990000.0, 3264000.0]","[248119000.0, 634927000.0, 342832000.0, 377257555.5555556, 102398825.0139957]","[295703000.0, 428704000.0, 399201500.0, 380702500.0, 52161707.24056106]",[22],[2]
0,"[260680000.0, 485048000.0, 408929000.0, 387554818.1818182, 69626974.97485267]","[309985000.0, 524347000.0, 355145500.0, 377147562.5, 66325100.22793855]","[430026000.0, 556677000.0, 526730000.0, 508668800.0, 43846016.94749478]","[337923000.0, 520557000.0, 404119000.0, 413880000.0, 52846519.075947136]","[344322000.0, 503494000.0, 387972500.0, 407752000.0, 54312535.08859626]","[410868000.0, 410868000.0, 410868000.0, 410868000.0, 410868000.0]","[235332000.0, 665210000.0, 314850500.0, 389290200.0, 157887471.4053018]","[369176000.0, 1110932000.0, 507914500.0, 623984250.0, 294181148.09278226]","[198333000.0, 384241000.0, 328771000.0, 310858571.4285714, 54758337.77049624]","[264887000.0, 539928000.0, 344986000.0, 367740888.8888889, 73811534.74964984]","[207975000.0, 1093392000.0, 332552000.0, 389403222.2222222, 255343780.62168038]","[251046000.0, 411726000.0, 312476000.0, 323452142.85714287, 50181589.46246713]","[2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134]","[324406000.0, 1151509000.0, 376534000.0, 557245750.0, 343767015.7856735]","[320644000.0, 4984499000.0, 373334500.0, 1512953000.0, 2004423688.4011073]",[22],[3]
0,"[535144000.0, 4149456000.0, 567132000.0, 1750577333.3333333, 1696313640.6292586]","[131120000.0, 543249000.0, 247713000.0, 265184604.6511628, 74447045.2975897]","[163840000.0, 1328619000.0, 267573000.0, 399830578.94736844, 322907650.61193186]","[215909000.0, 542874000.0, 275236000.0, 295781333.3333333, 76168359.1228032]","[327908000.0, 1005484000.0, 422452000.0, 457828210.5263158, 155483360.89166003]","[248996000.0, 873069000.0, 339582500.0, 397605666.6666667, 174688088.93583888]","[262527000.0, 689531000.0, 386512500.0, 412052214.28571427, 119356255.89336593]","[192695000.0, 2087348000.0, 267120500.0, 415052714.28571427, 470776404.44716865]","[183498000.0, 331583000.0, 237533000.0, 249591250.0, 48520541.1571996]","[406816000.0, 888990000.0, 598862000.0, 623382500.0, 216479129.51887533]","[155377000.0, 628768000.0, 233740000.0, 268489705.88235295, 115185356.28167768]","[160343000.0, 361009000.0, 232613000.0, 243507000.0, 54416573.12460056]","[219833000.0, 415308000.0, 252136000.0, 286082285.71428573, 60971850.96821152]","[178810000.0, 525906000.0, 235343000.0, 265957727.27272728, 96615448.61515386]","[271108000.0, 296879000.0, 283993500.0, 283993500.0, 12885500.0]",[23],[1]
0,"[695301000.0, 1084804000.0, 890052500.0, 890052500.0, 194751500.0]","[178895000.0, 314264000.0, 228899500.0, 230489633.33333334, 31299262.36668987]","[166273000.0, 645783000.0, 216078000.0, 265472120.0, 122036552.90291348]","[197773000.0, 837068000.0, 257998500.0, 335442708.3333333, 145222163.77688336]","[268643000.0, 588912000.0, 380979000.0, 378843225.8064516, 85922317.72821146]","[228828000.0, 402764000.0, 309963000.0, 301991363.6363636, 57662902.62027261]","[205701000.0, 619104000.0, 357503000.0, 350966944.4444444, 99300276.30065186]","[197183000.0, 820405000.0, 264578000.0, 375431380.95238096, 196125956.32653454]","[165731000.0, 595658000.0, 242585000.0, 277601947.3684211, 105618212.60682453]","[280630000.0, 300940000.0, 290785000.0, 290785000.0, 10155000.0]","[176846000.0, 601145000.0, 248246000.0, 308085500.0, 136787985.65795574]","[182701000.0, 591283000.0, 201273500.0, 252909875.0, 114471123.23686431]","[203720000.0, 626203000.0, 294951000.0, 381094000.0, 142918506.46634755]","[167984000.0, 488346000.0, 225897000.0, 255328333.33333334, 87297939.12395005]","[566771000.0, 566771000.0, 566771000.0, 566771000.0, 566771000.0]",[23],[2]
0,"[421004000.0, 482380000.0, 451692000.0, 451692000.0, 30688000.0]","[172241000.0, 305607000.0, 219224500.0, 217617090.9090909, 25806486.39376805]","[174858000.0, 1399382000.0, 219629000.0, 339532714.28571427, 267092052.5397908]","[188519000.0, 302525000.0, 243916000.0, 244511631.57894737, 28667815.982039083]","[263344000.0, 1752074000.0, 384818000.0, 494642043.4782609, 322075944.1122244]","[255090000.0, 574084000.0, 293756000.0, 331214857.14285713, 102942708.50946805]","[281894000.0, 1016446000.0, 392339500.0, 448374666.6666667, 193764385.17450917]","[117320000.0, 1072998000.0, 276042000.0, 433410916.6666667, 327426296.51380026]","[162880000.0, 383965000.0, 235102500.0, 253311642.85714287, 68459501.74749525]","[215146000.0, 394199000.0, 241920000.0, 283755000.0, 78856915.23681779]","[164523000.0, 717458000.0, 240539500.0, 296044142.85714287, 147050000.4594439]","[176059000.0, 282973000.0, 205044000.0, 219164636.36363637, 37033165.18589722]","[196974000.0, 340130000.0, 240772000.0, 247923166.66666666, 46706252.113311574]","[171809000.0, 515569000.0, 198066000.0, 276382454.54545456, 118406820.82884157]","[319631000.0, 319631000.0, 319631000.0, 319631000.0, 319631000.0]",[23],[3]
0,"[227165000.0, 1107140000.0, 289144500.0, 342348300.0, 186161696.87132204]","[252539000.0, 404639000.0, 300175500.0, 314827500.0, 40266928.696060695]","[201365000.0, 385123000.0, 271568000.0, 281200100.0, 63489453.66192719]","[261914000.0, 1614028000.0, 333722000.0, 403945708.3333333, 262077022.6667597]","[272924000.0, 516778000.0, 326703000.0, 370704800.0, 87963426.25750773]","[135010000.0, 498231000.0, 330330000.0, 314141384.61538464, 104295613.81553763]","[314661000.0, 651733000.0, 450290000.0, 456852928.5714286, 80781295.29915439]","[310166000.0, 338429000.0, 311910000.0, 320168333.3333333, 12931855.869217776]","[138826000.0, 1490175000.0, 295078500.0, 376472071.4285714, 319331695.68657964]","[255814000.0, 708851000.0, 341358000.0, 391663636.3636364, 136468754.95296797]","[182198000.0, 338640000.0, 239662500.0, 256610166.66666666, 48345592.28070561]","[251565000.0, 623447000.0, 356361000.0, 377985333.3333333, 99990649.12725033]","[301809000.0, 377799000.0, 338748500.0, 337801666.6666667, 31087919.1952258]","[283505000.0, 312558000.0, 298031500.0, 298031500.0, 14526500.0]","[369307000.0, 440885000.0, 386422000.0, 398871333.3333333, 30518758.672149315]",[24],[1]
0,"[219587000.0, 436883000.0, 267398500.0, 291440055.5555556, 61887165.58335305]","[229123000.0, 474953000.0, 293516000.0, 298531857.14285713, 49887877.24515056]","[211108000.0, 320775000.0, 258293500.0, 260760125.0, 34982107.21367961]","[266593000.0, 401719000.0, 307975000.0, 314679473.68421054, 31731059.062008563]","[304176000.0, 399428000.0, 346755500.0, 349278750.0, 33919612.30155056]","[152345000.0, 714073000.0, 276904500.0, 295921200.0, 156814881.41295776]","[176144000.0, 519370000.0, 369627000.0, 336346846.15384614, 104890681.80351913]","[213648000.0, 240410000.0, 227029000.0, 227029000.0, 13381000.0]","[196242000.0, 422793000.0, 261167000.0, 282973090.90909094, 72158651.58165474]","[226371000.0, 1560488000.0, 267589000.0, 406416200.0, 387250298.6213955]","[168729000.0, 2592354000.0, 210739000.0, 428465545.45454544, 684861727.5078051]","[243249000.0, 408875000.0, 271825000.0, 289362714.28571427, 52955745.08887933]","[271761000.0, 379043000.0, 309896500.0, 310720333.3333333, 34197290.39785982]","[215704000.0, 288802000.0, 229024000.0, 244510000.0, 31787749.71588898]","[347144000.0, 377669000.0, 368422000.0, 365414250.0, 11373675.975141019]",[24],[2]
0,"[216833000.0, 507011000.0, 269189500.0, 286871571.4285714, 70168546.77205479]","[230398000.0, 4912583000.0, 293790000.0, 504627727.27272725, 962365542.4254994]","[180518000.0, 1278711000.0, 265968000.0, 381197888.8888889, 323257140.66614884]","[295415000.0, 988625000.0, 318514000.0, 357177388.8888889, 154462069.55435836]","[309896000.0, 473590000.0, 367767000.0, 388865200.0, 60263645.62287947]","[173030000.0, 305939000.0, 204179000.0, 218325200.0, 43270685.20326435]","[142548000.0, 423223000.0, 358391000.0, 321459461.53846157, 92149396.18034601]","[206695000.0, 336192000.0, 271443500.0, 271443500.0, 64748500.0]","[204831000.0, 597728000.0, 351909500.0, 372701300.0, 123082065.38732603]","[197588000.0, 273845000.0, 246878500.0, 244320375.0, 25486369.135959227]","[162634000.0, 548848000.0, 240602000.0, 270980777.7777778, 104714736.45499714]","[241939000.0, 397537000.0, 291053500.0, 302207833.3333333, 49925120.55207166]","[263458000.0, 583131000.0, 290928000.0, 336549666.6666667, 110978243.88090166]","[173476000.0, 269600000.0, 267259000.0, 236778333.33333334, 44771710.74338001]","[236103000.0, 380501000.0, 360882500.0, 334592250.0, 57457463.48985047]",[24],[3]
0,"[299375000.0, 1566656000.0, 317479000.0, 498480142.85714287, 436324406.83294636]","[310470000.0, 477358000.0, 368366000.0, 374720000.0, 60070926.04817837]","[148332000.0, 910511000.0, 290298000.0, 313069458.3333333, 151207100.4059166]","[279856000.0, 1088933000.0, 403182000.0, 559509272.7272727, 288545118.23632807]","[294645000.0, 1619667000.0, 360861000.0, 450832641.025641, 243088105.96598008]","[293903000.0, 660343000.0, 361951000.0, 399975482.7586207, 88232246.98199113]","[154190000.0, 585289000.0, 302757500.0, 318706346.15384614, 71827541.75102724]","[133815000.0, 719403000.0, 223226000.0, 249339080.0, 112419650.43529356]","[126327000.0, 487293000.0, 243217500.0, 277766000.0, 87826732.17193043]","[271345000.0, 886412000.0, 325466000.0, 414725000.0, 215203806.1427663]","[147497000.0, 1007760000.0, 220523000.0, 302078541.6666667, 217618842.80567616]","[150235000.0, 522205000.0, 241478000.0, 257374272.72727272, 68212877.31900583]","[272252000.0, 870002000.0, 375204000.0, 456821176.4705882, 178556500.10545692]","[164044000.0, 612541000.0, 196533000.0, 258422090.9090909, 148884300.38941744]","[313159000.0, 602864000.0, 431412000.0, 422116181.8181818, 83817272.07315402]",[25],[1]
0,"[312476000.0, 430208000.0, 350207500.0, 360774750.0, 46560490.447239704]","[178836000.0, 368743000.0, 312005000.0, 302745400.0, 66800241.27082177]","[153874000.0, 477334000.0, 289604000.0, 302431454.54545456, 90488218.32538465]","[269175000.0, 351390000.0, 321403000.0, 315842750.0, 29616635.5311926]","[278680000.0, 1087912000.0, 367593000.0, 457610000.0, 203601038.71520177]","[297489000.0, 1448804000.0, 397704500.0, 511058681.8181818, 298071369.0099901]","[264696000.0, 458814000.0, 325777000.0, 339920642.85714287, 50599763.69172254]","[190238000.0, 915882000.0, 375058000.0, 441308000.0, 245894283.82086837]","[194744000.0, 1507652000.0, 261971000.0, 419789615.38461536, 342817193.9872818]","[309717000.0, 312850000.0, 311283500.0, 311283500.0, 1566500.0]","[195938000.0, 1288987000.0, 247364000.0, 333245466.6666667, 267040293.47419128]","[179826000.0, 442104000.0, 243968500.0, 272995750.0, 79296205.88982068]","[296718000.0, 623492000.0, 337341000.0, 383329857.14285713, 107402281.35569637]","[183602000.0, 465310000.0, 199941000.0, 238799428.57142857, 93150741.32188281]","[326986000.0, 819232000.0, 416714000.0, 494911500.0, 195208630.82545814]",[25],[2]
0,"[153557000.0, 880237000.0, 516309500.0, 516603250.0, 274523090.14942163]","[287524000.0, 334094000.0, 301597000.0, 307738333.3333333, 19501764.13102728]","[158817000.0, 475975000.0, 273927500.0, 276622000.0, 81772985.25694983]","[255172000.0, 1136142000.0, 295914000.0, 427114571.4285714, 292405046.95754635]","[308747000.0, 1023172000.0, 392629000.0, 475415275.86206895, 201976831.69233948]","[231902000.0, 775341000.0, 380397000.0, 407305526.31578946, 117681178.57176134]","[264302000.0, 537832000.0, 303668000.0, 332855578.94736844, 66630208.70471022]","[196239000.0, 476150000.0, 262412000.0, 287470545.45454544, 77550224.21321979]","[157123000.0, 24073490000.0, 216403000.0, 1703184058.8235295, 5597351102.560541]","[249949000.0, 368350000.0, 313160500.0, 315734375.0, 33748084.245396435]","[164936000.0, 1147611000.0, 212881000.0, 354970333.3333333, 283220840.0734955]","[180213000.0, 672094000.0, 250866000.0, 295775391.3043478, 125572745.46470077]","[270516000.0, 998910000.0, 334191500.0, 449797800.0, 214151682.3257758]","[164578000.0, 556569000.0, 216075000.0, 259453250.0, 119681788.45527905]","[312166000.0, 581006000.0, 401339000.0, 423962500.0, 111111007.96163267]",[25],[3]
0,"[264816000.0, 662691000.0, 303472500.0, 383613000.0, 161982926.19439864]","[300272000.0, 460935000.0, 352586000.0, 359107428.5714286, 40233254.46996425]","[200380000.0, 425495000.0, 288471000.0, 315384500.0, 72871563.3169071]","[316426000.0, 412615000.0, 323130000.0, 345098400.0, 36591834.53504347]","[318768000.0, 2487850000.0, 391056000.0, 793093600.0, 847860914.3807962]","[235296000.0, 828395000.0, 531845500.0, 531845500.0, 296549500.0]","[167520000.0, 414060000.0, 289285000.0, 278145857.14285713, 83542583.49134389]","[297101000.0, 1648093000.0, 329783000.0, 758325666.6666666, 629301972.4961582]","[205858000.0, 591522000.0, 269278500.0, 307140500.0, 110908623.7648663]","[270479000.0, 344965000.0, 297742000.0, 307154000.0, 26137235.562644012]","[216235000.0, 453434000.0, 266951500.0, 299380000.0, 81620405.34490544]","[254868000.0, 338608000.0, 320945000.0, 304807000.0, 36040932.12816043]","[363121000.0, 553782000.0, 402922500.0, 427538666.6666667, 66821430.089621864]","[296463000.0, 415161000.0, 323042000.0, 344888666.6666667, 50860996.413973466]","[239214000.0, 291905000.0, 274561000.0, 268560000.0, 21925546.30258199]",[26],[1]
0,"[441762000.0, 441762000.0, 441762000.0, 441762000.0, 441762000.0]","[326660000.0, 1007020000.0, 368766000.0, 422701000.0, 179437652.166428]","[207012000.0, 412238000.0, 277618000.0, 281361600.0, 60732300.4293432]","[349538000.0, 409951000.0, 387199000.0, 383848500.0, 20143656.17053336]","[376808000.0, 526405000.0, 419227000.0, 440813333.3333333, 62951266.56037633]","[7779022860.782082, 7779022860.782082, 7779022860.782082, 7779022860.782082, 7779022860.782082]","[216601000.0, 466604000.0, 289453000.0, 306459571.4285714, 80441803.95408693]","[169538000.0, 381677000.0, 276390000.0, 276344600.0, 67098079.79547552]","[168312000.0, 1115420000.0, 249914000.0, 317387333.3333333, 225650924.5818023]","[266982000.0, 341079000.0, 291946500.0, 292141750.0, 21426939.362342443]","[193113000.0, 340534000.0, 269403000.0, 265852750.0, 52802074.07562225]","[353318000.0, 376702000.0, 365010000.0, 365010000.0, 11692000.0]","[298772000.0, 424872000.0, 361822000.0, 361822000.0, 63050000.0]","[505800000.0, 505800000.0, 505800000.0, 505800000.0, 505800000.0]","[246137000.0, 309089000.0, 281156000.0, 278794000.0, 25754259.958305925]",[26],[2]
0,"[265339000.0, 387972000.0, 336792000.0, 330034333.3333333, 50292230.78722553]","[290782000.0, 860089000.0, 338241000.0, 379498846.15384614, 143230785.13248694]","[182868000.0, 419872000.0, 250431000.0, 281367200.0, 74042616.49860843]","[294485000.0, 482729000.0, 353939500.0, 366543875.0, 51923434.69098876]","[326316000.0, 420045000.0, 389655000.0, 381417750.0, 34334244.54080066]","[257354000.0, 257354000.0, 257354000.0, 257354000.0, 257354000.0]","[237321000.0, 433974000.0, 326809500.0, 334121166.6666667, 72816781.14605328]","[238339000.0, 716686000.0, 406724000.0, 399371000.0, 164425211.64868325]","[150780000.0, 466073000.0, 213327000.0, 236576200.0, 74078331.94504315]","[257357000.0, 340023000.0, 291448000.0, 292760777.7777778, 26088101.024446536]","[181323000.0, 434223000.0, 236150500.0, 256935875.0, 76247226.16337839]","[353050000.0, 367590000.0, 360320000.0, 360320000.0, 7270000.0]","[356281000.0, 358648000.0, 357464500.0, 357464500.0, 1183500.0]","[17033523173.78615, 17033523173.78615, 17033523173.78615, 17033523173.78615, 17033523173.78615]","[240876000.0, 601155000.0, 269077500.0, 345046500.0, 148641057.06112966]",[26],[3]
0,"[227944000.0, 344125000.0, 296822500.0, 291307500.0, 35311133.80956022]","[311223000.0, 450116000.0, 356555000.0, 366761857.14285713, 39205301.62555851]","[321971000.0, 578011000.0, 368157500.0, 423035166.6666667, 104687428.72063908]","[297763000.0, 1054517000.0, 382362000.0, 428711058.8235294, 181134662.64323592]","[315183000.0, 490830000.0, 369976000.0, 382245400.0, 59065675.892518155]","[198679000.0, 293215000.0, 245947000.0, 245947000.0, 47268000.0]","[277797000.0, 1069942000.0, 582079000.0, 647693600.0, 281521818.87065166]","[304924000.0, 445064000.0, 374994000.0, 374994000.0, 70070000.0]","[278669000.0, 465835000.0, 369247000.0, 364354571.4285714, 60701055.36116471]","[233586000.0, 390323000.0, 298338000.0, 298661769.2307692, 38312339.10525402]","[226973000.0, 438008000.0, 253025000.0, 290999111.1111111, 71321563.99706651]","[223680000.0, 1233418000.0, 272074000.0, 341302066.6666667, 240689865.10015097]","[259672000.0, 1057412000.0, 317036000.0, 469642400.0, 297205963.99305314]","[447336000.0, 447336000.0, 447336000.0, 447336000.0, 447336000.0]","[24793227744.322937, 24793227744.322937, 24793227744.322937, 24793227744.322937, 24793227744.322937]",[27],[1]
0,"[265177000.0, 359944000.0, 283676000.0, 302932333.3333333, 41014638.46265407]","[276497000.0, 363965000.0, 320231000.0, 320231000.0, 43734000.0]","[298735000.0, 4300469000.0, 300068000.0, 1633090666.6666667, 1886121385.9972591]","[290433000.0, 324742000.0, 295454000.0, 300510600.0, 12313163.096459009]","[329344000.0, 333899000.0, 331621500.0, 331621500.0, 2277500.0]","[235822000.0, 1109253000.0, 284978000.0, 460314800.0, 329723973.5035352]","[344842000.0, 4605852000.0, 1048083500.0, 1761715250.0, 1706672495.0211413]","[309420000.0, 309420000.0, 309420000.0, 309420000.0, 309420000.0]","[221435000.0, 424373000.0, 280977000.0, 301940500.0, 75196610.67661229]","[271724000.0, 324916000.0, 291688000.0, 293660166.6666667, 16526875.52056414]","[198290000.0, 443003000.0, 295419000.0, 293770142.85714287, 74309844.91097985]","[214624000.0, 328158000.0, 254093000.0, 262778300.0, 31441079.29779129]","[296269000.0, 794162000.0, 760124000.0, 616851666.6666666, 227111692.03181845]","[349820000.0, 349820000.0, 349820000.0, 349820000.0, 349820000.0]","[5712219000.0, 5712219000.0, 5712219000.0, 5712219000.0, 5712219000.0]",[27],[2]
0,"[251861000.0, 286762000.0, 269311500.0, 269311500.0, 17450500.0]","[342573000.0, 342573000.0, 342573000.0, 342573000.0, 342573000.0]","[365385000.0, 365385000.0, 365385000.0, 365385000.0, 365385000.0]","[284048000.0, 284048000.0, 284048000.0, 284048000.0, 284048000.0]","[474283000.0, 474283000.0, 474283000.0, 474283000.0, 474283000.0]","[214125000.0, 621684000.0, 263951500.0, 340928000.0, 163366614.2867018]","[226245000.0, 365531000.0, 357718000.0, 333187800.0, 53584175.25874594]","[24165447773.4326, 24165447773.4326, 24165447773.4326, 24165447773.4326, 24165447773.4326]","[264512000.0, 431609000.0, 310769000.0, 331437428.5714286, 61392489.75207948]","[252081000.0, 279236000.0, 257366000.0, 262486600.0, 10183791.172250146]","[249052000.0, 486558000.0, 284684000.0, 340098000.0, 104579502.63157052]","[196670000.0, 289721000.0, 240929000.0, 243678875.0, 31952261.236247037]","[2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134, 2067133422.4505134]","[17033523173.78615, 17033523173.78615, 17033523173.78615, 17033523173.78615, 17033523173.78615]","[2770389000.0, 2770389000.0, 2770389000.0, 2770389000.0, 2770389000.0]",[27],[3]
0,"[227528000.0, 428795000.0, 269974000.0, 290612764.7058824, 58110261.746937424]","[241404000.0, 1122424000.0, 295257000.0, 365001750.0, 231741958.0723083]","[217534000.0, 348967000.0, 274890500.0, 281638875.0, 47839289.42155574]","[270153000.0, 369248000.0, 303383000.0, 316510777.7777778, 29827909.843253914]","[365844000.0, 996797000.0, 441720500.0, 508001416.6666667, 187411780.53018185]","[206525000.0, 875418000.0, 329738000.0, 370331190.47619045, 173124557.9670806]","[168670000.0, 1690149000.0, 395988000.0, 483514241.37931037, 345033841.58405685]","[196802000.0, 1214471000.0, 327331000.0, 375681000.0, 237288410.9581815]","[217203000.0, 419518000.0, 282971500.0, 297311700.0, 75740902.08077799]","[248632000.0, 836623000.0, 298465000.0, 367574000.0, 160898378.43077278]","[185349000.0, 592546000.0, 221385000.0, 274396160.0, 94679887.76870407]","[193050000.0, 971629000.0, 284363000.0, 392481684.2105263, 215455998.2443729]","[386852000.0, 395748000.0, 391300000.0, 391300000.0, 4448000.0]","[201208000.0, 312771000.0, 236680000.0, 252976200.0, 38549968.60387827]","[359043000.0, 359043000.0, 359043000.0, 359043000.0, 0.0]",[28],[1]
